stimulus;colour;congruent;correctresponse;alt1;alt2;Accuracy;RT;Response;Sub_id;Sex
skyblue;skyblue;1;left;skyblue;brown;1;0.820412100001704;left;oppru;Male
magenta;skyblue;0;right;magenta;skyblue;1;1.0517157000140287;right;oppru;Male
cyan;cyan;1;left;cyan;red;1;0.9322140000003856;left;oppru;Male
magenta;magenta;1;left;magenta;green;1;1.2926842999877408;left;oppru;Male
black;orange;0;left;orange;black;0;0.940633499994874;right;oppru;Male
black;black;1;right;white;black;1;0.755564500024775;right;oppru;Male
cyan;cyan;1;right;red;cyan;1;0.7801165000128094;right;oppru;Male
yellow;yellow;1;left;yellow;cyan;1;0.7243307000026107;left;oppru;Male
blue;yellow;0;right;blue;yellow;1;1.0037467000074685;right;oppru;Male
brown;brown;1;left;brown;skyblue;1;0.9879649999784306;left;oppru;Male
yellow;yellow;1;right;red;yellow;1;0.8108271999808494;right;oppru;Male
cyan;blue;0;right;cyan;blue;1;0.9479046000051312;right;oppru;Male
yellow;yellow;1;left;yellow;blue;1;0.7001796000113245;left;oppru;Male
orange;black;0;right;orange;black;0;0.8438443999912124;left;oppru;Male
red;yellow;0;right;red;yellow;1;0.8603411999938544;right;oppru;Male
yellow;yellow;1;left;yellow;red;1;0.7642174999928102;left;oppru;Male
black;white;0;right;black;white;1;0.8920658999995794;right;oppru;Male
black;black;1;right;skyblue;black;1;1.2603101000131574;right;oppru;Male
green;green;1;left;green;skyblue;1;0.8115917999821249;left;oppru;Male
green;green;1;left;green;magenta;1;0.9645178999926429;left;oppru;Male
skyblue;skyblue;1;right;magenta;skyblue;1;0.6754684999759775;right;oppru;Male
green;magenta;0;right;green;magenta;1;0.7562816000136081;right;oppru;Male
cyan;cyan;1;left;cyan;yellow;1;0.6283344999828842;left;oppru;Male
green;brown;0;right;green;brown;1;0.7569926000142004;right;oppru;Male
red;yellow;0;left;yellow;red;1;0.8683847000065725;left;oppru;Male
black;white;0;left;white;black;0;0.5557157000002917;right;oppru;Male
brown;skyblue;0;right;brown;skyblue;1;0.8849479000200517;right;oppru;Male
red;blue;0;right;red;blue;1;1.0762383000110276;right;oppru;Male
skyblue;orange;0;left;orange;skyblue;1;1.044436800002586;left;oppru;Male
skyblue;skyblue;1;left;skyblue;magenta;1;0.9717296999879181;left;oppru;Male
blue;red;0;right;blue;red;1;0.9561074999801349;right;oppru;Male
black;black;1;left;black;skyblue;1;0.7881518000212964;left;oppru;Male
red;red;1;left;red;blue;1;0.8759908000065479;left;oppru;Male
magenta;magenta;1;right;skyblue;magenta;1;0.635744600003818;right;oppru;Male
black;skyblue;0;right;black;skyblue;1;0.8124371999874711;right;oppru;Male
red;blue;0;left;blue;red;1;0.8840582999982871;left;oppru;Male
cyan;blue;0;left;blue;cyan;1;0.9710177000088152;left;oppru;Male
brown;brown;1;left;brown;green;1;0.8125606999965385;left;oppru;Male
blue;blue;1;right;yellow;blue;1;0.5643678999913391;right;oppru;Male
skyblue;brown;0;right;skyblue;brown;1;0.7159861999971326;right;oppru;Male
green;magenta;0;left;magenta;green;1;0.7961198999837507;left;oppru;Male
blue;cyan;0;left;cyan;blue;1;0.9467197999765631;left;oppru;Male
yellow;blue;0;left;blue;yellow;1;0.9636073999863584;left;oppru;Male
